"Uuid","Fully specified name:fr","Short name:fr","Description:fr","Data class","Data type","Absolute low","Absolute high","Normal low","Normal high","Units","Allow decimals"
"69f00196-8877-4bd9-838a-62a4fe45c49c","Programme Diabète (Clinique Fasse)","Programme Diabète","Programme de suivi des patients diabétiques.","Program","N/A","","","","","",""
"72b37415-6a62-4e64-bd17-569492e6291b","Programme Hypertension (Clinique Fasse)","Programme Hypertension","Programme de suivi des patients hypertendus.","Program","N/A","","","","","",""
"2aba8565-b971-4dcb-82ad-5fd469fed60b","HbA1c (Clinique Fasse)","HbA1c","Hémoglobine glyquée, en pourcentage.","Question","Numeric","3","20","4","6","%","true"
"1404cca8-7fe1-48a7-aa2d-f4cbd036a049","Créatinine (Clinique Fasse)","Créatinine","Créatinine sanguine.","Question","Numeric","0","300","6","13","mg/L","true"
"fce262df-6bdf-4804-a7d3-ed77e280fd20","Albuminurie (Clinique Fasse)","Albuminurie","Résultat de la recherche d'albumine dans les urines.","Question","Text","","","","","",""
"4bcc4cdf-21f9-4127-8bfe-bbe440d2ff6e","Fond d'œil (Clinique Fasse)","Fond d'œil","Résultat de l'examen du fond d'œil.","Question","Text","","","","","",""
"e45d6947-b5ed-4f9b-a5f6-233ae2b90945","Contrôle des pieds (Clinique Fasse)","Contrôle des pieds","Résultat de l'examen des pieds (suivi diabète).","Question","Text","","","","","",""
"a3e4d4a8-5aa0-4106-8689-e2ec6566fb3d","Ionogramme (Clinique Fasse)","Ionogramme","Résultat de l'ionogramme sanguin.","Question","Text","","","","","",""
"aea99614-e896-4b1b-916e-744913689c88","Résultat ECG (Clinique Fasse)","Résultat ECG","Résultat de l'électrocardiogramme.","Question","Text","","","","","",""
"ad458a99-ff88-405e-8e60-39a797b2f653","Résultat MAPA (Clinique Fasse)","Résultat MAPA","Résultat de la mesure ambulatoire de la pression artérielle.","Question","Text","","","","","",""
