"Uuid","Fully specified name:fr","Short name:fr","Description:fr","Data class","Data type","Absolute low","Absolute high","Normal low","Normal high","Units","Allow decimals"
"d322b96b-a19b-4212-8295-7b5934f9ada9","Motif de consultation (Clinique FACE)","Motif","Raison principale de la consultation, saisie par le médecin.","Question","Text","","","","","",""
"99ca2aa1-566e-4441-a02d-8a38b9f910cb","Anamnèse (Clinique FACE)","Anamnèse","Histoire de la maladie racontée par le patient.","Question","Text","","","","","",""
"33621d82-f59b-4ad1-b3ea-a2a40fb93243","Examen clinique - État général (Clinique FACE)","État général","Observations sur l'état général du patient.","Question","Text","","","","","",""
"fe3c26cb-a44d-42b4-90ed-3d66fefb4281","Examen clinique - Cardiovasculaire (Clinique FACE)","Cardiovasculaire","Observations de l'examen cardiovasculaire.","Question","Text","","","","","",""
"2fed6e7d-23a3-4e9f-a27d-906f319faef4","Examen clinique - Respiratoire (Clinique FACE)","Respiratoire","Observations de l'examen respiratoire.","Question","Text","","","","","",""
"7ef1c693-ce7d-449a-92a6-6fdeb1cd7c81","Examen clinique - Digestif (Clinique FACE)","Digestif","Observations de l'examen digestif.","Question","Text","","","","","",""
"50ad4205-f324-44d3-a37d-2288fe68405a","Examen clinique - Neurologique (Clinique FACE)","Neurologique","Observations de l'examen neurologique.","Question","Text","","","","","",""
"d776bd17-f3fc-494c-8eaf-0bec204ea340","Examen clinique - Locomoteur (Clinique FACE)","Locomoteur","Observations de l'examen locomoteur.","Question","Text","","","","","",""
"49893994-5583-46dd-9e86-1435b21ac7b8","Examen clinique - ORL (Clinique FACE)","ORL","Observations de l'examen ORL.","Question","Text","","","","","",""
"bf9f481b-b553-4b0a-a029-fdffe50271cc","Examen clinique - Dermatologique (Clinique FACE)","Dermatologique","Observations de l'examen dermatologique.","Question","Text","","","","","",""
"4e2c4f67-75ce-449a-9a82-775525296bb6","Examen clinique - Gynécologique (Clinique FACE)","Gynécologique","Observations de l'examen gynécologique.","Question","Text","","","","","",""
"113b0187-490e-43ee-b5a2-cb233b0f1a60","Examen clinique - Autres (Clinique FACE)","Autres examens","Autres observations d'examen clinique non couvertes par les rubriques précédentes.","Question","Text","","","","","",""
"75775083-fa7d-4c2a-882a-6fcb27d186e0","Glycémie capillaire (Clinique FACE)","Glycémie capillaire","Glycémie capillaire mesurée au lit du patient.","Question","Numeric","0","6","0.7","1.1","g/L","true"
"7efad583-29a9-4b55-91ce-372a3f88379d","Périmètre abdominal (Clinique FACE)","Périmètre abdominal","Périmètre abdominal mesuré à la consultation.","Question","Numeric","0","200","","","cm","true"
"3c8e71bf-49fb-4400-ad70-115fb0347d66","Douleur EVA (Clinique FACE)","Douleur EVA","Échelle visuelle analogique de la douleur, de 0 (absence) à 10 (maximale).","Question","Numeric","0","10","","","/10","false"
"f08d88da-c570-4fa7-88e4-ffd4170dc22e","Conduite à tenir - Traitement (Clinique FACE)","CAT - Traitement","Traitement décidé à l'issue de la consultation.","Question","Text","","","","","",""
"3b12d14f-b29f-473b-82cd-c587224a2bd1","Conduite à tenir - Examens complémentaires (Clinique FACE)","CAT - Examens","Examens complémentaires prescrits ou envisagés.","Question","Text","","","","","",""
"97a4e9c2-5a50-43e2-a466-ef1996e1e2a5","Conduite à tenir - Orientation (Clinique FACE)","CAT - Orientation","Orientation du patient vers un autre service ou spécialiste.","Question","Text","","","","","",""
"7cd2ebc5-bbcf-4ba6-b2da-e03d818c784c","Conduite à tenir - Surveillance (Clinique FACE)","CAT - Surveillance","Éléments de surveillance recommandés.","Question","Text","","","","","",""
"ea1bb666-e84d-45f3-893e-98680f437f01","Conduite à tenir - Date de contrôle (Clinique FACE)","CAT - Date de contrôle","Date du prochain contrôle proposé.","Question","Date","","","","","",""
