"Uuid","Fully specified name:fr","Short name:fr","Description:fr","Data class","Data type","Absolute low","Absolute high","Normal low","Normal high","Units","Allow decimals"
"395846a4-6bef-454c-a0ac-2ef2e77cf444","Comprimé (Clinique Fasse)","Comprimé","Forme galénique : comprimé.","Drug form","N/A","","","","","",""
"bc02511e-d2ec-4f50-84b5-a96071a3dc6d","Sirop (Clinique Fasse)","Sirop","Forme galénique : sirop buvable.","Drug form","N/A","","","","","",""
"9b844785-de25-4a70-b6c3-6971affe1d75","Injectable (Clinique Fasse)","Injectable","Forme galénique : solution injectable.","Drug form","N/A","","","","","",""
"50a62d5d-186d-4c69-83e6-f2801822c521","Sachet (Clinique Fasse)","Sachet","Forme galénique : sachet (poudre à diluer).","Drug form","N/A","","","","","",""
"261af992-5b0c-4c36-9daf-014cfd9c8fbb","Suspension buvable (Clinique Fasse)","Suspension buvable","Forme galénique : suspension buvable.","Drug form","N/A","","","","","",""
"b59c2da4-74c8-48e8-ad8d-3b3067174096","Amoxicilline (Clinique Fasse)","Amoxicilline","Antibiotique de la famille des pénicillines.","Drug","N/A","","","","","",""
"fb7c13b3-f7be-4b39-ae7e-491fae66af31","Paracétamol (Clinique Fasse)","Paracétamol","Antalgique et antipyrétique.","Drug","N/A","","","","","",""
"5bc6e1fc-67e2-43d5-9905-acec866e293f","Paracétamol pédiatrique (Clinique Fasse)","Paracétamol pédiatrique","Antalgique et antipyrétique, forme pédiatrique.","Drug","N/A","","","","","",""
"d18909e5-898c-40ca-b07b-d41d1ac32ab4","Ibuprofène (Clinique Fasse)","Ibuprofène","Anti-inflammatoire non stéroïdien.","Drug","N/A","","","","","",""
"2023483c-1a12-4753-9985-5986f640ec16","Artéméther/Luméfantrine (Clinique Fasse)","Artéméther/Luméfantrine","Antipaludéen (combinaison thérapeutique à base d'artémisinine).","Drug","N/A","","","","","",""
"5e38069d-aaf3-4b72-a263-b56521b188be","Métronidazole (Clinique Fasse)","Métronidazole","Antibiotique/antiparasitaire.","Drug","N/A","","","","","",""
"1f519293-ebfa-4b72-8652-d0da61293629","Ciprofloxacine (Clinique Fasse)","Ciprofloxacine","Antibiotique de la famille des fluoroquinolones.","Drug","N/A","","","","","",""
"b082cbfd-ede4-4931-a1b1-802bd2248104","Oméprazole (Clinique Fasse)","Oméprazole","Inhibiteur de la pompe à protons.","Drug","N/A","","","","","",""
"629148c6-3c8d-4e75-87c9-f97f82add634","Sels de réhydratation orale (Clinique Fasse)","SRO","Sels de réhydratation orale.","Drug","N/A","","","","","",""
"0d26b8f1-533e-47fb-80a3-7ce399eca337","Fer + Acide folique (Clinique Fasse)","Fer + Acide folique","Supplémentation en fer et acide folique.","Drug","N/A","","","","","",""
"0cbbd6a5-6399-465b-b0c1-9827177c4cad","Diclofénac (Clinique Fasse)","Diclofénac","Anti-inflammatoire non stéroïdien, forme injectable.","Drug","N/A","","","","","",""
