"Uuid","Void/Retire","Name","Description","Concept Drug","Concept Dosage Form","Strength","_order:1000"
"","","Amoxicilline 1g comprimé","Antibiotique — protocole Clinique Fasse §9 (exemple du protocole).","b59c2da4-74c8-48e8-ad8d-3b3067174096","395846a4-6bef-454c-a0ac-2ef2e77cf444","1g",""
"","","Paracétamol 500mg comprimé","Antalgique / antipyrétique.","fb7c13b3-f7be-4b39-ae7e-491fae66af31","395846a4-6bef-454c-a0ac-2ef2e77cf444","500mg",""
"","","Paracétamol pédiatrique sirop 120mg/5ml","Antalgique / antipyrétique, forme pédiatrique.","5bc6e1fc-67e2-43d5-9905-acec866e293f","bc02511e-d2ec-4f50-84b5-a96071a3dc6d","120mg/5ml",""
"","","Ibuprofène 400mg comprimé","Anti-inflammatoire non stéroïdien.","d18909e5-898c-40ca-b07b-d41d1ac32ab4","395846a4-6bef-454c-a0ac-2ef2e77cf444","400mg",""
"","","Artéméther/Luméfantrine 20mg/120mg comprimé","Antipaludéen de première intention.","2023483c-1a12-4753-9985-5986f640ec16","395846a4-6bef-454c-a0ac-2ef2e77cf444","20mg/120mg",""
"","","Métronidazole 500mg comprimé","Antibiotique / antiparasitaire.","5e38069d-aaf3-4b72-a263-b56521b188be","395846a4-6bef-454c-a0ac-2ef2e77cf444","500mg",""
"","","Ciprofloxacine 500mg comprimé","Antibiotique à large spectre.","1f519293-ebfa-4b72-8652-d0da61293629","395846a4-6bef-454c-a0ac-2ef2e77cf444","500mg",""
"","","Oméprazole 20mg comprimé","Inhibiteur de la pompe à protons.","b082cbfd-ede4-4931-a1b1-802bd2248104","395846a4-6bef-454c-a0ac-2ef2e77cf444","20mg",""
"","","Sels de réhydratation orale (sachet)","À diluer dans 1 litre d'eau.","629148c6-3c8d-4e75-87c9-f97f82add634","50a62d5d-186d-4c69-83e6-f2801822c521","1 sachet/1L",""
"","","Fer + Acide folique comprimé","Supplémentation, notamment en grossesse.","0d26b8f1-533e-47fb-80a3-7ce399eca337","395846a4-6bef-454c-a0ac-2ef2e77cf444","200mg/0.4mg",""
"","","Diclofénac 75mg/3ml injectable","Anti-inflammatoire non stéroïdien, forme injectable.","0cbbd6a5-6399-465b-b0c1-9827177c4cad","9b844785-de25-4a70-b6c3-6971affe1d75","75mg/3ml",""
